transaction_id,date,time,retailer_location_city,ticket_batch_id,unique_code
T000001,2026-01-17,06:05:36,Detroit,BATCH-C-2025,QOZA-5152
T000002,2025-09-11,13:18:02,Los Angeles,BATCH-B-2025,YJRN-4879
T000003,2025-12-04,20:14:01,Chicago,BATCH-A-2025,HOBH-8727
T000004,2026-01-06,20:10:04,Miami,BATCH-B-2025,KKLQ-3551
T000005,2025-11-19,04:36:22,Houston,BATCH-B-2025,SMDM-9902
T000006,2025-10-30,14:42:43,Miami,BATCH-A-2025,WLFK-1628
T000007,2025-10-24,06:09:07,Detroit,BATCH-B-2025,XIUR-0543
T000008,2026-02-04,16:56:04,Atlanta,BATCH-A-2025,FTIR-8679
T000009,2025-12-09,08:09:23,Houston,BATCH-C-2025,DCWA-1001
T000010,2026-01-18,16:46:01,Detroit,BATCH-C-2025,SFTJ-0760
T000011,2025-12-18,15:56:52,Houston,BATCH-C-2025,QACJ-3985
T000012,2025-08-29,05:00:14,New York,BATCH-A-2025,FRWN-9935
T000013,2025-11-24,15:10:04,Detroit,BATCH-A-2025,BFAE-8941
T000014,2026-01-23,07:26:19,Detroit,BATCH-B-2025,RAHG-4482
T000015,2025-09-10,10:48:16,New York,BATCH-B-2025,HNLG-7323
T000016,2025-12-04,14:40:23,Detroit,BATCH-C-2025,YBKL-2512
T000017,2026-01-14,06:50:49,Los Angeles,BATCH-C-2025,LOSL-9553
T000018,2025-09-26,09:23:03,Atlanta,BATCH-B-2025,GBLG-2939
T000019,2025-11-08,18:38:52,Miami,BATCH-A-2025,EFUG-2132
T000020,2025-10-31,08:43:36,Los Angeles,BATCH-C-2025,NVPX-0292
T000021,2025-10-02,04:57:05,Atlanta,BATCH-B-2025,FDCE-3473
T000022,2026-01-25,18:38:41,Houston,BATCH-A-2025,OGOL-2401
T000023,2025-11-24,17:11:52,Chicago,BATCH-B-2025,NDMC-5389
T000024,2025-12-05,15:35:13,Los Angeles,BATCH-C-2025,OSNE-4689
T000025,2026-01-08,20:01:24,Chicago,BATCH-C-2025,CNOO-5911
T000026,2026-01-05,07:28:35,Houston,BATCH-C-2025,RSFK-6468
T000027,2026-01-04,04:32:58,Miami,BATCH-A-2025,IDCI-2993
T000028,2025-11-06,19:47:08,Detroit,BATCH-B-2025,UXTV-0656
T000029,2025-09-01,17:54:51,Atlanta,BATCH-A-2025,HZOZ-8773
T000030,2025-10-13,06:25:19,Detroit,BATCH-B-2025,JUYX-2447
T000031,2025-11-08,20:57:50,Miami,BATCH-A-2025,WAIV-8869
T000032,2025-09-29,07:15:02,New York,BATCH-B-2025,ZHLA-3350
T000033,2025-10-07,06:24:07,Miami,BATCH-C-2025,HAWT-1261
T000034,2025-11-29,13:03:20,New York,BATCH-B-2025,PICH-2571
T000035,2026-02-16,16:06:31,Miami,BATCH-A-2025,KRWU-4956
T000036,2026-02-15,21:42:47,Miami,BATCH-C-2025,DDAV-6678
T000037,2025-12-28,07:14:34,Los Angeles,BATCH-A-2025,GNKL-7220
T000038,2026-01-28,20:14:59,Los Angeles,BATCH-C-2025,OIIY-3327
T000039,2025-11-23,21:18:18,Miami,BATCH-B-2025,OYJW-6461
T000040,2025-09-26,23:24:27,Detroit,BATCH-C-2025,KOJA-4244
T000041,2026-01-18,06:37:51,Chicago,BATCH-C-2025,YNUH-9063
T000042,2025-10-29,06:27:24,Miami,BATCH-A-2025,EYKU-1958
T000043,2025-11-16,21:39:51,Detroit,BATCH-A-2025,HZWT-0575
T000044,2026-01-30,21:41:32,Los Angeles,BATCH-C-2025,RQNU-2105
T000045,2026-02-12,07:41:29,Miami,BATCH-A-2025,FABL-2078
T000046,2025-09-28,00:41:24,Chicago,BATCH-C-2025,RLIF-7512
T000047,2025-10-18,17:14:17,Los Angeles,BATCH-C-2025,UWGB-7776
T000048,2025-12-01,21:47:15,Detroit,BATCH-A-2025,GZJQ-3873
T000049,2025-11-25,03:53:16,Chicago,BATCH-B-2025,DGEH-2280
T000050,2025-11-28,09:27:51,Miami,BATCH-C-2025,XOGB-0291
T000051,2025-11-13,23:25:20,Atlanta,BATCH-A-2025,DGVB-7396
T000052,2026-02-12,04:26:01,Miami,BATCH-A-2025,IHTH-3149
T000053,2025-12-21,12:24:25,Atlanta,BATCH-A-2025,WVHW-4205
T000054,2025-09-13,16:11:06,Miami,BATCH-B-2025,XXCP-4020
T000055,2025-11-10,12:40:54,Los Angeles,BATCH-B-2025,NWGL-8284
T000056,2025-12-05,19:01:10,Atlanta,BATCH-A-2025,DAVR-7800
T000057,2025-09-20,13:48:55,Chicago,BATCH-B-2025,ZOLI-1692
T000058,2025-10-09,13:26:54,Houston,BATCH-A-2025,UYPA-6536
T000059,2026-01-15,15:01:53,Miami,BATCH-A-2025,ZRBG-3275
T000060,2025-10-04,04:43:00,Chicago,BATCH-C-2025,IRBU-1801
T000061,2025-11-09,00:38:09,Los Angeles,BATCH-A-2025,UECB-6470
T000062,2026-02-14,15:03:33,Detroit,BATCH-A-2025,UUYI-8754
T000063,2026-01-10,18:37:08,Houston,BATCH-B-2025,NTOB-6589
T000064,2025-09-11,19:40:40,Detroit,BATCH-A-2025,XTLQ-6296
T000065,2025-11-08,12:03:11,Miami,BATCH-B-2025,CGXW-7642
T000066,2026-02-14,11:16:23,Los Angeles,BATCH-B-2025,TBUM-4856
T000067,2025-12-10,09:29:56,Houston,BATCH-C-2025,EUVS-0604
T000068,2025-11-19,03:14:41,Houston,BATCH-A-2025,YBUD-5616
T000069,2026-02-17,17:53:32,Los Angeles,BATCH-A-2025,VURC-7528
T000070,2025-11-03,05:42:02,Houston,BATCH-C-2025,CJIU-5668
T000071,2026-01-30,02:09:57,Houston,BATCH-C-2025,BIHC-8493
T000072,2025-10-11,09:34:20,Houston,BATCH-B-2025,VMMD-9103
T000073,2025-12-12,19:41:23,Chicago,BATCH-C-2025,VXFL-7652
T000074,2025-10-02,20:48:40,Atlanta,BATCH-A-2025,UZIT-9036
T000075,2025-10-08,18:50:34,New York,BATCH-B-2025,ZDDO-9574
T000076,2026-01-15,15:18:49,Detroit,BATCH-A-2025,ZJFW-1364
T000077,2025-09-13,19:26:12,Detroit,BATCH-B-2025,WVOU-2609
T000078,2026-01-27,16:31:31,Los Angeles,BATCH-C-2025,QBNJ-3830
T000079,2025-12-30,10:33:44,Los Angeles,BATCH-A-2025,SMUH-8754
T000080,2025-12-12,02:33:22,Miami,BATCH-B-2025,GTIH-1040
T000081,2025-09-01,21:21:24,Atlanta,BATCH-B-2025,BMLY-9791
T000082,2025-11-23,04:06:03,Houston,BATCH-A-2025,CXBD-5694
T000083,2026-01-20,11:13:08,Chicago,BATCH-B-2025,MIUD-7515
T000084,2025-09-16,02:35:02,Houston,BATCH-C-2025,DODZ-0334
T000085,2025-10-07,10:43:07,New York,BATCH-C-2025,JUKX-8158
T000086,2026-01-04,20:01:45,New York,BATCH-A-2025,JMMH-2786
T000087,2025-12-15,21:19:44,Houston,BATCH-B-2025,PWCL-5709
T000088,2025-10-29,14:01:50,Atlanta,BATCH-B-2025,YUFT-0587
T000089,2025-10-09,14:20:18,Houston,BATCH-C-2025,AMBK-5530
T000090,2025-09-24,23:24:39,Chicago,BATCH-B-2025,EXTD-7355
T000091,2025-10-08,07:16:14,New York,BATCH-B-2025,DILH-4098
T000092,2026-02-02,14:47:52,Atlanta,BATCH-B-2025,KETC-6579
T000093,2026-01-10,22:57:02,Houston,BATCH-B-2025,TUZJ-0612
T000094,2025-12-16,03:02:52,Chicago,BATCH-A-2025,EYKG-0313
T000095,2025-09-04,05:02:40,New York,BATCH-A-2025,OBVL-0851
T000096,2025-09-08,18:17:18,Chicago,BATCH-A-2025,GDPV-2007
T000097,2026-01-15,00:35:43,Chicago,BATCH-C-2025,ZBZY-5818
T000098,2026-01-13,20:14:08,Chicago,BATCH-C-2025,NXUS-1587
T000099,2025-10-10,09:42:15,New York,BATCH-C-2025,SIVJ-6797
T000100,2026-01-20,02:09:07,Detroit,BATCH-C-2025,BMCN-7983
T000101,2025-11-30,06:06:13,Chicago,BATCH-B-2025,LEYT-2058
T000102,2025-11-14,07:31:44,Atlanta,BATCH-A-2025,RHRW-8656
T000103,2025-10-17,15:13:30,Detroit,BATCH-C-2025,CHMQ-5991
T000104,2025-11-15,00:06:45,Chicago,BATCH-C-2025,WUBO-3452
T000105,2026-01-07,07:26:51,Houston,BATCH-B-2025,DCGI-1647
T000106,2025-12-06,08:04:25,Detroit,BATCH-B-2025,AAXW-2702
T000107,2025-12-07,20:53:48,Chicago,BATCH-B-2025,MQTN-9761
T000108,2025-12-07,11:23:14,Miami,BATCH-C-2025,UFCF-6797
T000109,2025-12-13,12:24:25,Los Angeles,BATCH-C-2025,VARU-7708
T000110,2025-12-20,15:51:05,Los Angeles,BATCH-A-2025,BIZP-5379
T000111,2025-09-08,20:06:19,New York,BATCH-B-2025,WLST-2982
T000112,2026-01-16,10:08:58,Houston,BATCH-B-2025,CBWM-2898
T000113,2026-01-30,06:01:06,Miami,BATCH-B-2025,LSTR-1272
T000114,2025-10-23,03:12:45,New York,BATCH-A-2025,EKVU-6746
T000115,2025-09-25,19:40:37,Los Angeles,BATCH-A-2025,TRBZ-5297
T000116,2025-10-13,02:03:00,Miami,BATCH-C-2025,HSBZ-0887
T000117,2025-08-30,03:40:38,New York,BATCH-C-2025,NYYH-0625
T000118,2026-01-24,06:51:16,Detroit,BATCH-B-2025,IVDM-8520
T000119,2026-02-06,12:38:32,Chicago,BATCH-A-2025,OHGA-1246
T000120,2025-09-18,15:56:36,New York,BATCH-B-2025,SXUF-5167
T000121,2026-01-25,19:02:52,Chicago,BATCH-B-2025,CMCT-9488
T000122,2025-10-02,07:54:02,Detroit,BATCH-C-2025,NALO-1614
T000123,2025-09-28,10:57:32,Detroit,BATCH-A-2025,KQZT-1078
T000124,2026-01-11,22:04:40,Detroit,BATCH-A-2025,GEGH-6251
T000125,2025-12-31,10:14:11,New York,BATCH-B-2025,FJDJ-4686
T000126,2026-02-06,02:50:42,Miami,BATCH-A-2025,MNNB-7671
T000127,2025-10-26,04:47:41,Detroit,BATCH-B-2025,BNSD-8594
T000128,2026-01-23,06:59:34,Miami,BATCH-C-2025,FMTE-4399
T000129,2026-02-04,04:37:45,New York,BATCH-C-2025,UUQI-4938
T000130,2026-02-10,15:43:45,Chicago,BATCH-A-2025,JDOO-5143
T000131,2026-02-15,08:02:18,Detroit,BATCH-A-2025,DTFB-3750
T000132,2026-02-06,14:28:41,Atlanta,BATCH-A-2025,OAOE-5643
T000133,2025-10-18,20:30:52,Atlanta,BATCH-B-2025,HXIO-1384
T000134,2026-01-01,03:34:40,Atlanta,BATCH-A-2025,EWME-7688
T000135,2025-12-17,16:55:09,New York,BATCH-A-2025,STZU-9259
T000136,2026-01-23,00:50:59,Los Angeles,BATCH-A-2025,KPQN-0239
T000137,2025-11-08,21:51:34,Los Angeles,BATCH-A-2025,GRQJ-5978
T000138,2025-09-09,21:28:43,Detroit,BATCH-B-2025,WOZD-8814
T000139,2025-09-04,07:34:47,New York,BATCH-C-2025,WPYV-3782
T000140,2025-10-16,23:34:31,Atlanta,BATCH-B-2025,STMS-7070
T000141,2025-08-30,23:37:45,Miami,BATCH-B-2025,SYAF-8412
T000142,2026-01-16,07:50:55,Atlanta,BATCH-B-2025,UJZX-2019
T000143,2025-09-10,02:35:46,Los Angeles,BATCH-A-2025,WIFH-6452
T000144,2025-10-06,21:24:40,Houston,BATCH-A-2025,NCWN-7300
T000145,2025-10-26,01:52:22,Houston,BATCH-B-2025,FHES-6693
T000146,2025-10-30,03:52:43,Detroit,BATCH-A-2025,CFHP-3119
T000147,2025-08-31,17:41:35,Detroit,BATCH-A-2025,KFXP-8968
T000148,2025-11-12,02:09:31,Atlanta,BATCH-A-2025,WMSM-9926
T000149,2025-11-01,00:13:38,Miami,BATCH-B-2025,BDCI-8647
T000150,2025-11-14,04:50:27,Los Angeles,BATCH-C-2025,QWWC-6554
T000151,2025-09-15,10:49:23,Los Angeles,BATCH-A-2025,UIBF-0212
T000152,2025-09-12,04:43:34,Houston,BATCH-C-2025,QFUU-0287
T000153,2026-01-09,12:44:01,Atlanta,BATCH-B-2025,XDEE-8552
T000154,2025-08-29,14:28:57,Chicago,BATCH-B-2025,SVES-7501
T000155,2025-10-01,08:34:16,New York,BATCH-C-2025,IVYJ-0746
T000156,2025-12-03,14:18:51,Los Angeles,BATCH-C-2025,TAWZ-7575
T000157,2026-02-08,01:08:21,New York,BATCH-B-2025,SCMJ-2836
T000158,2025-11-26,23:47:04,Detroit,BATCH-C-2025,SRHY-1264
T000159,2025-11-24,03:59:42,Chicago,BATCH-B-2025,TLVR-1663
T000160,2025-10-10,22:37:09,Chicago,BATCH-A-2025,PSRA-9659
T000161,2025-10-27,16:15:04,New York,BATCH-A-2025,TJYT-9313
T000162,2025-12-09,13:29:37,New York,BATCH-B-2025,EOZA-7560
T000163,2026-01-02,20:44:25,Los Angeles,BATCH-B-2025,UWBO-7350
T000164,2026-01-17,07:19:01,Detroit,BATCH-C-2025,IUES-9426
T000165,2025-12-08,13:45:27,Houston,BATCH-C-2025,BAXB-3434
T000166,2026-02-08,08:51:24,Detroit,BATCH-B-2025,LNOY-7194
T000167,2025-09-30,17:43:46,Houston,BATCH-A-2025,PDWA-8107
T000168,2025-09-25,15:06:49,Los Angeles,BATCH-A-2025,AYFD-6760
T000169,2026-02-03,11:08:45,Miami,BATCH-C-2025,COCT-3359
T000170,2025-11-20,01:14:08,New York,BATCH-A-2025,GCIY-9316
T000171,2025-09-23,14:46:42,Miami,BATCH-B-2025,PRQN-6263
T000172,2025-12-13,18:27:21,Chicago,BATCH-C-2025,TPBW-6643
T000173,2025-10-21,17:17:13,Detroit,BATCH-C-2025,JHVG-2826
T000174,2025-09-16,17:51:24,Atlanta,BATCH-A-2025,ZKRF-0685
T000175,2025-10-11,18:48:07,Detroit,BATCH-A-2025,FUWA-9243
T000176,2026-01-06,06:55:05,Detroit,BATCH-B-2025,JHPJ-9079
T000177,2025-11-19,17:40:54,Atlanta,BATCH-C-2025,XRUF-7001
T000178,2025-10-14,06:31:05,Atlanta,BATCH-A-2025,TYNT-9643
T000179,2025-09-20,18:23:30,New York,BATCH-B-2025,BOMH-0629
T000180,2025-12-18,06:03:10,Chicago,BATCH-C-2025,SXKN-9984
T000181,2025-11-16,16:43:21,Detroit,BATCH-A-2025,TSRO-0228
T000182,2025-10-21,11:04:21,Miami,BATCH-B-2025,JGBG-1431
T000183,2025-12-29,10:23:57,New York,BATCH-A-2025,FMXX-6037
T000184,2025-10-24,00:54:18,Atlanta,BATCH-A-2025,HMPL-2802
T000185,2025-10-21,04:49:22,Miami,BATCH-B-2025,CSJY-3916
T000186,2025-09-04,14:48:28,Atlanta,BATCH-A-2025,RXQA-9841
T000187,2025-12-09,19:20:08,Houston,BATCH-B-2025,EZXO-6441
T000188,2025-10-03,01:43:12,Los Angeles,BATCH-A-2025,RIOJ-6273
T000189,2025-09-06,03:33:06,Houston,BATCH-A-2025,KMLK-6067
T000190,2025-10-25,00:49:15,Chicago,BATCH-B-2025,MZPD-4984
T000191,2025-10-04,10:03:37,Chicago,BATCH-B-2025,ZVHF-6399
T000192,2025-12-16,23:58:17,Houston,BATCH-A-2025,ZHQN-2720
T000193,2025-10-03,18:33:15,Los Angeles,BATCH-C-2025,OWYY-3011
T000194,2025-12-01,19:05:34,Los Angeles,BATCH-B-2025,LCZB-4051
T000195,2026-01-30,16:02:14,Houston,BATCH-A-2025,TUTT-5695
T000196,2025-10-02,22:34:45,Chicago,BATCH-C-2025,GVNJ-4201
T000197,2025-10-20,18:00:32,New York,BATCH-B-2025,QXZO-3692
T000198,2025-11-13,03:47:20,Miami,BATCH-A-2025,TSEH-6021
T000199,2026-01-10,18:55:16,New York,BATCH-B-2025,RNEN-1842
T000200,2025-11-14,05:35:49,Miami,BATCH-A-2025,AYWE-3993
T000201,2025-12-09,00:00:49,Chicago,BATCH-B-2025,RFJB-0223
T000202,2026-02-18,23:51:12,Los Angeles,BATCH-A-2025,BGPI-1809
T000203,2026-01-03,13:08:31,New York,BATCH-B-2025,DERK-4644
T000204,2026-01-24,13:38:25,Houston,BATCH-A-2025,EROZ-1741
T000205,2025-11-10,03:25:49,Detroit,BATCH-B-2025,SJOY-7587
T000206,2025-12-29,17:13:57,Detroit,BATCH-A-2025,GINU-2792
T000207,2025-09-13,14:47:49,Atlanta,BATCH-A-2025,BVTM-5408
T000208,2025-11-03,11:18:09,Chicago,BATCH-C-2025,DEMY-5880
T000209,2025-11-23,11:40:24,Detroit,BATCH-A-2025,LZNQ-7774
T000210,2026-01-04,18:51:18,Detroit,BATCH-A-2025,YWLR-7233
T000211,2025-09-07,10:18:49,Miami,BATCH-B-2025,PTUI-2320
T000212,2025-11-19,06:06:48,Detroit,BATCH-B-2025,OCQV-5393
T000213,2025-12-11,19:49:59,Atlanta,BATCH-C-2025,TZHI-2263
T000214,2026-01-07,08:25:44,Houston,BATCH-C-2025,DDNI-0262
T000215,2025-10-18,12:16:32,Atlanta,BATCH-B-2025,CLOE-5562
T000216,2025-08-28,12:30:06,Los Angeles,BATCH-A-2025,AUUC-5735
T000217,2026-02-03,14:47:14,Chicago,BATCH-B-2025,PJPH-6272
T000218,2025-10-04,07:23:43,Los Angeles,BATCH-B-2025,AIIN-8661
T000219,2026-01-27,07:18:08,Atlanta,BATCH-B-2025,ROHC-4786
T000220,2025-12-12,13:35:24,Chicago,BATCH-B-2025,CEKC-8704
T000221,2025-09-07,07:17:16,Los Angeles,BATCH-A-2025,BQAE-0590
T000222,2025-12-30,01:57:33,Detroit,BATCH-C-2025,MJGH-3865
T000223,2025-09-10,01:57:25,Miami,BATCH-B-2025,YFNF-8345
T000224,2025-12-13,20:27:24,Miami,BATCH-C-2025,SIET-0562
T000225,2026-01-16,00:14:29,Chicago,BATCH-A-2025,EMJY-5586
T000226,2025-09-14,08:21:27,Miami,BATCH-B-2025,EDWR-9298
T000227,2025-09-03,22:20:52,New York,BATCH-B-2025,FHZU-9248
