user_id,date,time,app_session_length_minutes,feature_used,unique_code,social_share_count
U01744,2025-10-05,01:35:25,4,share_social,KMVE-6006,1
U03038,2025-11-01,07:47:04,10,play_ar_game,OCAY-4194,0
U04903,2025-09-12,03:58:19,15,stream_music,KXRX-8974,0
U01453,2025-11-06,21:05:24,30,stream_music,AOQL-8094,0
U00117,2025-10-27,08:17:35,18,scan_ticket,TJYT-9313,0
U04428,2026-01-04,02:59:49,29,scan_ticket,TFTO-2577,1
U03052,2025-12-12,03:02:21,10,browse_merch,,3
U02018,2026-01-07,02:23:33,5,stream_music,HLBJ-4097,0
U04052,2025-09-05,12:27:52,14,stream_music,,1
U03770,2025-12-26,23:27:15,18,browse_merch,,0
U03713,2025-11-14,22:45:44,5,share_social,,0
U04811,2026-01-02,00:37:28,12,play_ar_game,DOVX-2830,0
U02052,2025-09-27,12:32:23,3,browse_merch,GPOB-0530,0
U03203,2025-12-08,22:08:20,25,scan_ticket,,2
U03260,2025-12-29,20:41:40,25,scan_ticket,JNQR-9469,4
U03623,2026-01-13,05:00:02,4,share_social,PGHC-7574,0
U00044,2026-01-24,18:40:38,27,play_ar_game,VQAM-8579,3
U04865,2025-12-08,03:17:12,18,play_ar_game,SWNZ-4495,0
U00971,2026-01-18,17:39:07,29,stream_music,GEAM-9314,0
U01531,2025-12-12,12:54:44,22,stream_music,,0
U02677,2026-01-11,17:59:56,17,browse_merch,TUWM-5592,5
U04687,2026-01-22,01:59:39,10,stream_music,,0
U00643,2025-09-22,21:43:12,25,browse_merch,TYSG-5000,0
U04299,2025-11-09,19:54:28,13,play_ar_game,GKRU-9489,2
U00114,2025-09-21,16:48:42,19,scan_ticket,GCGE-8416,1
U01698,2025-10-13,22:13:28,30,stream_music,HINQ-2895,0
U03675,2025-10-23,18:05:47,30,share_social,JVLW-9858,0
U01366,2025-10-11,23:27:05,18,play_ar_game,QFSE-1935,3
U00739,2025-11-02,09:23:09,6,share_social,GVOJ-8160,0
U00455,2025-09-27,09:33:53,27,scan_ticket,LGOQ-6314,0
U04531,2026-02-13,04:49:53,4,browse_merch,UFKC-6513,0
U03544,2026-02-08,16:08:44,7,play_ar_game,MSCI-1723,0
U02487,2026-01-08,06:40:14,30,browse_merch,MNVJ-8979,0
U01525,2025-12-16,10:14:58,15,browse_merch,FLMV-1745,4
U00011,2025-09-28,12:40:03,14,share_social,VLAY-0773,0
U00889,2025-12-24,18:59:10,17,scan_ticket,TMBS-9164,0
U03619,2025-12-13,20:32:43,5,play_ar_game,ORRQ-2484,1
U03367,2025-08-29,22:06:43,18,browse_merch,OYZH-5123,0
U00756,2025-11-16,00:24:02,19,browse_merch,,0
U00767,2025-10-09,20:05:59,16,play_ar_game,GERF-6920,1
U02098,2025-10-17,05:39:41,12,stream_music,DQWQ-4615,1
U01404,2025-09-13,12:48:14,23,browse_merch,NZRI-5337,0
U04706,2025-11-17,20:37:44,18,browse_merch,UTCO-1707,0
U04487,2025-08-29,22:05:09,27,stream_music,CDIA-3909,0
U02510,2025-10-12,23:35:38,2,play_ar_game,DCWA-1001,2
U02227,2025-12-22,16:08:58,13,share_social,,0
U04001,2025-11-28,06:49:03,23,stream_music,YAOQ-2320,0
U02315,2025-09-12,14:06:36,6,stream_music,AGEV-3836,0
U02019,2025-11-09,11:29:57,29,play_ar_game,RROI-3296,2
U01660,2025-09-30,09:19:33,13,browse_merch,BTVT-2772,0
U02548,2025-09-15,10:36:55,15,scan_ticket,,0
U03431,2025-11-01,22:46:30,5,scan_ticket,ULQO-8208,0
U02404,2026-01-16,07:32:40,18,share_social,NEON-2601,0
U01488,2025-10-22,21:07:52,7,scan_ticket,,4
U01463,2025-12-08,19:37:05,3,play_ar_game,QYTH-4534,0
U04491,2025-11-02,03:53:35,3,play_ar_game,PRRG-0235,0
U01674,2025-12-07,07:51:06,15,browse_merch,SLGY-6856,0
U01668,2025-12-20,11:45:16,13,share_social,,0
U00087,2025-12-16,09:16:17,3,browse_merch,HSHH-4832,0
U03458,2025-10-17,04:24:36,25,stream_music,UDBS-2915,0
U00059,2026-01-09,06:18:08,6,browse_merch,CWZL-8195,0
U00475,2026-01-28,13:54:38,7,scan_ticket,CIYU-3433,0
U02841,2025-08-26,09:09:10,10,play_ar_game,JGBG-1431,0
U00496,2025-09-27,10:35:07,16,browse_merch,PYLI-7228,3
U02201,2025-09-13,12:14:24,24,share_social,ZZHQ-2519,0
U02528,2025-12-18,15:51:00,2,scan_ticket,XBYY-9688,1
U03226,2025-09-30,02:42:31,27,scan_ticket,CWGK-0759,2
U02839,2026-01-13,02:17:24,9,stream_music,RCOW-0131,0
U01990,2025-10-18,16:17:19,25,scan_ticket,MIOM-7350,0
U00353,2025-09-27,05:11:00,14,play_ar_game,RLEU-3524,0
U00046,2026-01-27,01:39:48,26,browse_merch,,0
U03250,2025-12-21,20:44:23,14,scan_ticket,,3
U04467,2026-01-07,23:51:25,13,browse_merch,,0
U04228,2025-10-06,02:15:35,3,browse_merch,CZNJ-7448,0
U01964,2025-12-22,16:28:27,19,share_social,WIXN-7504,5
U04299,2026-02-15,20:40:51,30,share_social,WNKH-9400,3
U00026,2025-11-06,07:50:50,26,stream_music,TUQW-3294,2
U02035,2025-12-09,08:00:03,18,scan_ticket,UMCF-4039,0
U01675,2025-10-02,09:10:54,27,scan_ticket,,0
U04338,2025-09-06,02:15:28,1,play_ar_game,OATQ-6991,0
U02357,2025-11-19,15:09:07,14,play_ar_game,,5
U01793,2025-10-22,20:49:29,14,play_ar_game,ZVKB-7802,0
U01456,2025-09-15,01:21:35,21,scan_ticket,,0
U00744,2025-10-06,03:34:18,9,browse_merch,EDZU-1684,0
U00777,2026-01-13,10:56:46,12,scan_ticket,EKFS-6885,2
U04574,2025-09-01,16:12:15,23,browse_merch,LBAQ-8739,0
U02417,2025-11-14,18:30:11,22,scan_ticket,NQUG-8255,0
U02059,2025-10-03,02:02:09,27,scan_ticket,,0
U02477,2026-02-07,13:58:44,26,play_ar_game,MJJU-3286,0
U00852,2025-10-23,08:23:54,11,share_social,SNFH-2290,0
U03924,2026-01-19,15:22:17,3,play_ar_game,IGTW-2056,5
U01029,2025-09-03,18:35:54,26,share_social,BVGM-2248,0
U03748,2025-10-03,04:56:28,29,scan_ticket,XPNT-8341,0
U04205,2026-01-20,09:34:33,28,share_social,RUEK-6849,0
U02966,2026-01-09,12:04:45,23,browse_merch,EXQF-3771,0
U04349,2025-12-23,00:48:44,11,play_ar_game,,2
U04257,2026-02-12,17:13:00,21,share_social,,0
U04618,2025-11-02,14:12:12,3,scan_ticket,XSJK-5889,5
U02700,2025-09-17,16:16:49,2,play_ar_game,XBJY-5552,0
U04786,2026-01-23,08:41:14,2,browse_merch,KJYU-9200,5
U03407,2026-02-13,12:35:11,7,stream_music,DXSQ-4663,3
U04637,2025-09-13,03:13:21,1,share_social,WZOP-2019,0
U01172,2025-12-21,21:29:38,26,scan_ticket,PZFR-4389,0
U01293,2025-10-10,22:30:44,2,stream_music,,0
U04377,2025-09-09,07:14:06,10,play_ar_game,,5
U00430,2026-01-25,10:53:36,21,browse_merch,HLKF-4663,0
U02947,2025-09-04,13:23:19,13,scan_ticket,TMLS-1061,0
U00571,2026-01-07,12:11:24,27,scan_ticket,CNYT-9708,0
U01438,2026-01-26,09:00:36,16,stream_music,IBKM-3263,0
U02413,2025-12-07,18:21:09,1,browse_merch,BBNG-8056,0
U00044,2026-01-14,10:13:35,2,browse_merch,KUCN-7793,1
U01767,2025-12-25,05:51:34,25,scan_ticket,KGUD-4108,0
U00623,2025-10-13,01:38:36,1,stream_music,WCQX-4366,3
U01263,2026-01-13,00:16:51,22,stream_music,DHHI-0067,4
U01044,2026-01-16,06:29:24,17,share_social,TFND-6342,3
U00024,2025-10-30,17:18:35,6,browse_merch,LLXH-3914,0
U01564,2026-01-29,02:12:56,3,scan_ticket,HIQW-5032,0
U00327,2025-11-12,08:53:14,21,stream_music,SKMS-8571,0
U01772,2026-01-13,13:02:17,19,play_ar_game,XWJT-9933,0
U00425,2026-01-24,02:10:37,16,scan_ticket,OOSY-4265,4
U02634,2025-11-16,08:25:30,2,share_social,SGEO-3234,0
U01616,2026-01-07,21:37:57,24,browse_merch,USZI-4286,4
U04206,2026-01-18,06:29:52,3,scan_ticket,HOYT-3702,0
U01722,2026-01-20,19:49:01,21,play_ar_game,NEVU-7123,0
U03277,2025-12-02,21:04:51,24,share_social,SXUF-5167,2
U02108,2026-01-12,18:10:58,14,scan_ticket,UVEE-5828,5
U04174,2025-12-04,00:10:27,25,share_social,EFUW-1092,1
U00580,2025-12-24,12:36:11,1,play_ar_game,EEIF-4871,0
U03453,2025-10-17,09:36:07,8,share_social,YQDU-9785,0
U00727,2025-12-19,08:35:07,28,scan_ticket,OPBH-7239,0
U04247,2026-02-07,23:10:11,13,scan_ticket,YJQD-8367,0
U04988,2026-01-29,20:45:17,4,share_social,FXKB-9197,0
U02262,2025-11-01,10:02:50,8,browse_merch,YFLO-7276,0
U02093,2026-02-13,11:52:54,8,browse_merch,,0
U03025,2025-11-04,00:13:02,16,scan_ticket,ESLP-8991,0
